bank_name,transaction_date,year,month_num,month_name,debit_transactions,debit_amount,credit_transactions,credit_amount,total_transactions,total_amount,avg_debit_ticket_size,avg_credit_ticket_size,net_amount_flow
ORIENTAL BANK OF COMMERCE,2019-08-01,2019,8,August,1329114,87227.54,2753958,144753.59,4083072,231981.13,0.065628335868857,0.052562018011894154,57526.05
PRATHAMA BANK,2019-08-01,2019,8,August,22670,3189.26,106788,2816.07,129458,6005.33,0.1406819585355095,0.026370659624676933,-373.19000000000005
PRIME CO-OP BANK SURAT,2019-08-01,2019,8,August,17329,1092.67,20955,1052.49,38284,2145.16,0.06305441745051647,0.05022619899785254,-40.180000000000064
PUNJAB AND MAHARASHTRA CO-OP BANK,2019-08-01,2019,8,August,62739,2737.64,261204,6634.62,323943,9372.26,0.04363537831332982,0.025400147011531215,3896.98
PUNJAB AND SIND BANK,2019-08-01,2019,8,August,284560,23870.14,1008713,35354.16,1293273,59224.3,0.08388438290694405,0.035048779980033966,11484.020000000004
PUNJAB NATIONAL BANK,2019-08-01,2019,8,August,4043416,285188.74,11532975,537643.64,15576391,822832.38,0.07053163463764302,0.04661794896806765,252454.90000000002
PAYTM PAYMENTS BANK,2019-08-01,2019,8,August,263129,102812.36,347338,103976.6,610467,206788.96000000002,0.39072987013974136,0.29935279180510055,1164.2400000000052
PRAGATHI KRISHNA GRAMIN BANK,2019-08-01,2019,8,August,57727,12227.84,163188,6993.96,220915,19221.8,0.21182185112685573,0.042858298404294434,-5233.88
QATAR NATIONAL BANK,2019-08-01,2019,8,August,75,224.92,26,232.68,101,457.6,2.998933333333333,8.94923076923077,7.760000000000019
RABOBANK INTERNATIONAL,2019-08-01,2019,8,August,2654,3247.48,239,1868.02,2893,5115.5,1.2236171816126602,7.815983263598326,-1379.46
RAJARAMBAPU SAHAKARI BANK,2019-08-01,2019,8,August,10280,910.77,3837,580.67,14117,1491.44,0.08859630350194553,0.15133437581443834,-330.1
RAJASTHAN MARUDHARA GRAMIN BANK,2019-08-01,2019,8,August,59633,4970.19,1366921,4423.48,1426554,9393.669999999998,0.08334630154444686,0.003236090454386171,-546.71
RAJGURUNAGAR SAHAKARI BANK,2019-08-01,2019,8,August,10712,417.19,20292,511.91,31004,929.1,0.03894604182225542,0.025227183126355215,94.72000000000003
RAJKOT NAGARIK SAHAKARI BANK,2019-08-01,2019,8,August,15741,905.99,31999,1303.0,47740,2208.99,0.05755606378247888,0.04072002250070315,397.01
RBI PAD,2019-08-01,2019,8,August,33556744,2381280.7,1242100,212036.35,34798844,2593317.0500000003,0.07096280556897892,0.17070795427099267,-2169244.35
RBL BANK,2019-08-01,2019,8,August,2971505,99422.51,1136165,81908.58,4107670,181331.09,0.03345863796291778,0.0720921521081885,-17513.929999999993
SAMARTH SAHAKARI BANK SOLAPUR,2019-08-01,2019,8,August,5560,262.34,7294,228.1,12854,490.43999999999994,0.047183453237410064,0.031272278585138466,-34.23999999999998
SANT SOPANKAKA SAHAKARI BANK,2019-08-01,2019,8,August,2476,113.11,678,40.8,3154,153.91,0.04568255250403877,0.06017699115044248,-72.31
SARASPUR NAGRIK CO-OP BANK,2019-08-01,2019,8,August,4917,197.7,330,9.96,5247,207.66,0.04020744356314826,0.030181818181818185,-187.73999999999998
SARASWAT CO-OP BANK,2019-08-01,2019,8,August,352224,19410.32,620150,36549.87,972374,55960.19,0.055107885890796765,0.05893714423929695,17139.550000000003
SBER BANK,2019-08-01,2019,8,August,168,259.05,21,1.41,189,260.46000000000004,1.5419642857142857,0.06714285714285714,-257.64
SBM BANK INDIA,2019-08-01,2019,8,August,2221,475.76,1415,411.37,3636,887.13,0.21420981539846914,0.2907208480565371,-64.38999999999999
SEVA VIKAS CO-OP BANK,2019-08-01,2019,8,August,6848,333.93,30236,1192.19,37084,1526.1200000000001,0.048763142523364486,0.03942948802751687,858.26
